age,annual_income,employment_years,credit_history_years,loan_amount,loan_term_months,interest_rate,monthly_debt,debt_to_income,credit_utilization,late_payments_12m,recent_credit_inquiries,existing_loans,savings_balance,home_ownership,loan_purpose,employment_type,region,defaulted
25,22839.2,12.0,1.0,14165.89,36,15.45,699.93,0.368,0.863,1,0,5,0.0,own,education,salaried,midwest,1
58,24063.38,13.2,29.5,12406.58,36,15.43,812.37,0.405,0.402,1,1,4,12536.15,mortgage,debt_consolidation,salaried,northeast,0
52,96966.24,9.4,32.6,69285.05,48,13.58,2517.74,0.312,0.515,3,1,5,51770.34,rent,debt_consolidation,salaried,north,1
42,73624.39,1.7,19.4,46057.93,60,16.06,767.75,0.125,0.405,1,1,1,25290.66,rent,home_improvement,salaried,north,0
41,29058.47,8.5,17.5,10813.53,36,10.85,1408.31,0.582,0.041,0,0,3,4776.59,mortgage,debt_consolidation,salaried,south,0
62,29652.3,9.9,32.1,21320.34,36,17.36,636.93,0.258,0.331,0,1,1,8800.92,rent,medical,salaried,midwest,0
25,21318.58,9.4,1.0,9603.64,24,13.63,442.25,0.249,0.251,1,0,4,0.0,mortgage,home_improvement,contract,north,1
54,18000.0,9.6,30.2,2500.0,36,12.47,274.97,0.183,0.697,1,0,3,7535.83,mortgage,home_improvement,salaried,southeast,0
30,32889.55,8.0,7.9,9334.33,24,11.16,1688.06,0.616,0.293,0,2,4,4154.67,mortgage,debt_consolidation,salaried,south,0
25,22717.76,6.2,2.2,11624.44,36,13.49,1115.03,0.589,0.253,1,1,4,3801.42,rent,home_improvement,salaried,south,1
46,33334.99,4.1,17.1,7293.47,36,22.36,746.41,0.269,0.285,1,0,0,3716.52,mortgage,debt_consolidation,contract,northeast,0
67,18000.0,0.0,40.0,8783.33,24,14.23,330.6,0.22,0.673,0,1,2,9702.67,rent,small_business,salaried,north,1
56,25083.63,7.9,34.8,8724.26,24,9.69,1076.3,0.515,0.938,0,3,1,3039.98,rent,medical,salaried,southeast,1
57,36769.48,7.2,36.5,16791.25,24,18.36,944.39,0.308,0.18,1,1,5,5697.05,mortgage,debt_consolidation,salaried,midwest,1
55,40287.96,8.7,34.5,4882.14,12,12.52,2023.15,0.603,0.318,2,1,3,7258.95,mortgage,education,self_employed,midwest,0
58,41164.78,1.1,40.0,26942.57,48,15.69,1943.86,0.567,0.782,0,2,0,13774.72,mortgage,medical,contract,northeast,0
45,19838.79,9.1,25.4,6904.16,24,11.96,810.26,0.49,0.912,1,0,2,10868.35,own,medical,salaried,northeast,1
27,49462.4,14.7,1.0,10303.01,12,19.88,529.9,0.129,0.355,2,0,3,3159.95,rent,education,salaried,northeast,0
61,24684.01,6.8,38.9,9772.08,60,12.02,944.47,0.459,0.621,0,0,1,230.0,rent,medical,salaried,southeast,0
42,45062.26,6.3,15.8,19209.67,24,20.37,2302.37,0.613,0.734,2,0,3,0.0,rent,home_improvement,salaried,southeast,1
45,34390.37,7.7,33.2,17936.77,48,10.09,806.96,0.282,0.283,1,2,4,8361.53,rent,small_business,contract,south,0
38,19378.46,14.6,12.4,8729.5,36,13.27,897.94,0.556,0.073,2,0,3,6618.18,rent,small_business,salaried,southeast,1
29,30248.35,2.4,6.7,4459.21,48,20.38,757.21,0.3,0.717,0,1,3,16114.72,mortgage,debt_consolidation,self_employed,northeast,1
65,40273.65,7.3,40.0,26945.2,36,15.21,2028.84,0.605,0.696,1,1,3,23349.35,mortgage,debt_consolidation,salaried,north,0
58,44687.34,3.3,34.2,18214.59,24,24.04,1612.24,0.433,0.54,0,0,1,3149.0,rent,home_improvement,salaried,southeast,0
51,32558.22,4.3,30.2,5486.13,48,13.37,358.44,0.132,0.834,0,0,3,20288.52,mortgage,debt_consolidation,self_employed,northeast,0
40,65732.39,6.3,26.6,39891.79,48,15.58,1855.21,0.339,0.287,1,0,0,25176.52,rent,home_improvement,self_employed,southeast,0
60,52741.32,11.9,32.8,28263.93,24,22.5,469.63,0.107,0.417,0,4,4,22319.66,rent,education,salaried,south,0
47,31014.35,13.7,22.9,16411.11,48,8.14,758.15,0.293,0.538,2,1,2,5739.32,mortgage,small_business,contract,southeast,1
42,47337.17,8.3,20.4,18412.07,36,7.62,2265.5,0.574,0.021,0,1,4,24717.67,own,small_business,salaried,southeast,0
42,77823.08,5.0,23.3,29464.84,60,11.16,1332.0,0.205,0.617,1,1,1,33595.99,mortgage,small_business,contract,north,0
31,78700.4,16.5,14.6,36036.39,48,17.92,3891.12,0.593,0.643,2,0,5,13118.95,rent,debt_consolidation,salaried,south,1
25,20624.6,4.8,1.0,3132.35,12,7.74,230.24,0.134,0.211,2,1,3,491.25,mortgage,debt_consolidation,salaried,southeast,0
47,23408.54,4.2,16.7,7217.87,48,17.01,856.36,0.439,0.584,2,2,5,7627.23,mortgage,debt_consolidation,self_employed,southeast,1
63,64451.35,0.0,39.1,47846.96,60,16.71,3230.46,0.601,0.297,0,2,1,11720.84,own,medical,salaried,midwest,1
24,22148.43,12.1,7.2,11897.72,48,22.96,799.64,0.433,0.734,0,2,3,180.03,rent,medical,salaried,south,1
62,19821.7,10.4,38.0,7610.12,12,18.89,934.04,0.565,0.132,3,5,4,11557.06,rent,small_business,self_employed,north,1
60,28163.96,16.2,37.2,7325.13,48,16.03,1443.77,0.615,0.644,1,2,4,1337.47,own,home_improvement,salaried,northeast,0
