customer_id,age,annual_income,purchase_frequency_monthly,average_ticket,digital_engagement_score,return_rate_pct,support_tickets_quarter,loyalty_months,discount_sensitivity_score,web_visits_monthly,app_sessions_weekly,tenure_months,segment_label
C0001,36.8,100267.16,6.21,475.16,92.41,2.96,0.72,28.2,12.73,13.03,6.16,26.2,premium_repeaters
C0002,37.9,62856.31,6.38,192.82,72.17,2.62,1.71,26.0,59.7,9.68,7.07,22.5,loyal_midmarket
C0003,25.7,97194.48,4.64,271.27,83.07,4.39,1.38,31.5,65.6,14.84,6.07,29.8,high_potential
C0004,60.8,94194.26,6.77,363.11,77.18,2.65,0.56,33.5,20.96,12.8,6.33,36.6,premium_repeaters
C0005,37.6,40326.39,2.79,23.71,28.46,3.47,0.0,6.8,92.6,4.89,3.68,14.0,value_seekers
C0006,26.2,74486.55,5.38,239.15,68.81,5.7,1.28,14.2,34.77,10.48,5.15,16.5,high_potential
C0007,48.4,118478.54,8.36,374.0,90.42,5.16,0.4,62.2,23.75,12.09,5.69,64.5,premium_repeaters
C0008,45.7,114911.84,5.16,393.2,90.13,2.46,1.05,33.3,22.97,16.36,7.52,35.1,premium_repeaters
C0009,44.5,50994.03,3.6,109.89,39.63,7.88,1.71,9.0,87.3,8.74,5.63,13.4,value_seekers
C0010,49.9,67500.66,6.65,158.17,68.23,3.92,2.17,37.6,52.04,5.72,7.32,31.0,loyal_midmarket
C0011,34.1,72725.62,6.5,133.58,67.77,8.61,1.69,35.7,50.05,10.2,7.34,29.2,loyal_midmarket
C0012,35.5,64365.71,4.07,163.7,65.31,4.89,0.0,22.3,53.54,7.34,7.66,14.4,high_potential
C0013,36.0,67996.1,6.98,275.1,84.44,2.62,1.1,48.8,42.69,9.09,9.34,52.3,premium_repeaters
C0014,36.8,76592.37,4.18,209.11,59.93,5.17,1.48,20.1,30.11,4.81,3.94,25.0,high_potential
C0015,30.0,82518.52,6.52,194.42,86.59,5.84,1.59,61.1,52.08,13.25,7.13,64.8,loyal_midmarket
C0016,25.1,32708.43,5.81,98.17,36.21,10.29,1.71,12.5,86.5,9.0,3.94,15.9,value_seekers
C0017,34.2,67485.45,5.59,165.64,65.46,4.32,1.75,16.7,61.76,7.1,7.81,20.2,loyal_midmarket
C0018,43.6,53210.71,4.46,52.13,54.95,9.01,0.52,13.9,84.92,8.43,7.06,16.6,value_seekers
C0019,41.4,106390.51,1.65,197.3,72.52,2.0,1.05,26.7,35.13,9.02,8.66,25.1,high_potential
C0020,49.8,108233.96,8.19,237.08,92.9,4.28,0.81,48.9,16.72,12.86,7.76,49.6,premium_repeaters
C0021,22.3,107548.27,8.54,354.07,83.21,3.49,1.16,37.0,45.84,14.62,6.37,44.0,premium_repeaters
C0022,39.8,98751.28,7.39,213.99,68.28,4.61,1.07,37.9,66.61,11.4,7.5,36.3,loyal_midmarket
C0023,33.6,97819.89,5.62,199.16,65.64,3.41,0.18,19.7,45.17,6.88,7.54,9.8,high_potential
C0024,34.9,78030.61,5.2,154.37,86.95,4.57,1.15,34.3,61.16,11.77,8.62,33.9,high_potential
C0025,47.6,116105.97,6.91,420.69,77.09,6.49,0.95,63.4,30.86,9.3,7.65,62.5,premium_repeaters
C0026,37.9,50896.98,3.54,57.84,28.68,4.43,0.39,14.7,91.0,3.72,2.38,7.6,value_seekers
C0027,45.8,97151.99,4.45,166.33,85.06,5.81,1.54,35.1,56.97,13.91,5.81,33.9,loyal_midmarket
C0028,41.2,44955.31,3.68,74.59,44.73,6.44,0.94,11.9,73.17,7.81,2.41,9.3,value_seekers
C0029,58.0,36903.35,2.88,123.13,48.96,7.47,2.2,1.4,81.65,7.13,5.22,3.9,value_seekers
C0030,25.3,134120.89,4.5,247.47,79.68,2.57,1.56,38.2,12.52,10.91,6.98,29.2,premium_repeaters
C0031,47.8,110359.67,9.12,405.92,76.64,0.72,1.21,48.7,30.48,14.97,5.62,46.0,premium_repeaters
C0032,51.6,99238.34,2.94,172.79,87.65,4.38,1.42,19.7,44.95,8.96,6.84,20.7,high_potential
C0033,30.7,78614.3,6.67,125.15,60.76,3.95,0.98,20.2,48.34,10.3,5.32,25.3,loyal_midmarket
C0034,45.3,67295.52,6.37,151.42,56.53,3.31,0.82,22.4,55.46,8.13,4.83,18.0,loyal_midmarket
C0035,49.9,76098.1,6.18,129.12,55.38,5.05,1.82,11.9,57.11,9.01,4.05,13.2,loyal_midmarket
C0036,36.3,40925.7,1.88,31.39,56.31,5.54,1.44,5.7,70.72,8.8,5.75,4.8,value_seekers
C0037,34.9,44887.65,3.74,129.44,32.19,7.86,2.71,21.6,70.63,5.61,3.2,29.0,value_seekers
C0038,67.1,69387.78,5.74,190.09,65.48,4.92,1.25,27.2,58.79,10.0,4.89,22.1,loyal_midmarket
C0039,41.8,47196.62,3.55,109.05,59.11,8.48,2.71,1.0,94.72,6.0,4.21,6.2,value_seekers
C0040,23.3,120626.89,7.47,355.57,86.68,1.21,1.39,42.1,26.37,7.55,8.79,46.1,premium_repeaters
C0041,43.4,54094.73,6.26,175.83,79.7,4.68,0.78,28.9,65.46,10.91,5.05,29.4,loyal_midmarket
C0042,49.9,93827.11,2.86,240.07,75.16,8.62,0.45,17.3,63.98,11.18,6.84,16.5,high_potential
C0043,47.9,123075.21,6.45,335.09,65.22,3.68,1.13,39.3,15.08,7.86,5.54,42.7,premium_repeaters
C0044,36.6,53991.97,4.97,161.18,80.28,3.85,1.58,28.6,56.23,10.4,5.1,34.1,loyal_midmarket
C0045,26.7,67270.76,4.21,160.04,77.69,4.05,2.19,5.8,48.04,11.38,3.81,5.9,high_potential
C0046,44.4,91552.39,6.89,191.86,76.34,6.44,0.92,13.9,23.24,8.88,7.12,15.5,high_potential
C0047,49.3,64995.84,5.57,201.22,54.62,6.89,0.36,27.4,71.31,5.92,4.22,29.8,loyal_midmarket
C0048,24.3,72879.3,6.25,176.82,67.69,4.61,0.33,28.8,62.23,8.03,6.31,30.1,loyal_midmarket
C0049,33.1,111004.6,9.72,367.86,67.51,4.37,0.51,35.1,30.51,8.09,5.27,40.6,premium_repeaters
C0050,26.2,36092.66,2.93,117.48,52.55,12.27,3.61,7.8,82.56,6.25,3.3,6.7,value_seekers
C0051,25.0,32533.01,3.36,59.58,55.11,5.71,4.05,11.3,82.58,10.11,5.43,20.1,value_seekers
C0052,44.9,29878.78,3.71,61.96,62.55,10.02,1.88,1.0,74.13,11.15,3.46,6.2,value_seekers
C0053,34.7,123427.94,9.02,248.79,77.94,3.86,0.75,19.8,25.39,10.01,6.46,21.2,premium_repeaters
C0054,38.4,117285.29,8.16,323.26,74.72,3.62,0.0,47.7,28.0,6.77,4.03,53.6,premium_repeaters
C0055,20.0,122928.47,7.49,349.36,74.3,4.36,1.37,47.8,25.91,13.06,7.66,52.9,premium_repeaters
C0056,26.8,102166.44,8.51,387.33,90.47,2.36,0.79,51.0,28.46,14.08,8.35,54.6,premium_repeaters
C0057,24.9,74635.02,5.89,231.74,58.99,3.94,1.21,42.8,40.52,8.49,3.8,36.6,loyal_midmarket
C0058,36.3,67385.4,6.99,157.55,70.31,4.46,1.6,38.8,47.77,10.83,4.44,44.9,loyal_midmarket
C0059,34.3,47900.56,2.42,125.31,57.29,8.72,1.93,12.7,87.43,9.93,4.42,15.7,value_seekers
C0060,45.2,36454.27,2.31,63.39,23.06,9.82,3.25,22.6,68.99,2.38,2.24,30.2,value_seekers
C0061,26.6,81857.93,7.9,281.5,79.6,1.47,1.17,54.3,21.73,10.84,6.42,47.7,premium_repeaters
C0062,44.2,53387.77,6.74,164.25,57.24,4.0,1.84,40.0,52.83,8.24,5.41,37.4,loyal_midmarket
C0063,31.8,66361.96,6.72,152.68,73.1,5.99,0.0,45.9,26.57,9.81,4.59,52.0,loyal_midmarket
C0064,46.7,98312.73,9.04,234.32,87.03,3.43,0.3,35.0,19.86,8.99,7.35,39.9,premium_repeaters
C0065,25.3,102462.66,9.44,265.74,90.83,3.46,0.32,33.9,21.59,10.52,5.21,36.3,premium_repeaters
C0066,20.2,67443.88,4.04,153.67,58.91,3.43,2.4,34.6,56.21,8.85,3.92,33.9,loyal_midmarket
C0067,30.7,82896.75,4.76,169.98,62.14,5.3,0.82,31.3,51.87,9.35,5.52,35.2,loyal_midmarket
C0068,20.0,66834.5,7.16,171.75,64.93,5.19,2.22,20.6,60.93,12.43,6.59,23.5,loyal_midmarket
C0069,29.9,43535.63,2.94,90.78,41.98,6.04,1.57,15.2,75.86,6.78,4.58,11.7,value_seekers
C0070,33.5,74779.93,7.36,183.08,71.92,5.55,1.15,28.7,73.93,11.14,6.89,28.0,loyal_midmarket
C0071,44.6,29356.88,4.62,87.65,31.67,10.97,2.3,6.4,96.22,7.7,3.1,8.4,value_seekers
C0072,24.7,71663.0,5.41,200.36,72.77,5.03,0.73,35.3,53.37,11.53,2.97,31.4,loyal_midmarket
C0073,33.4,91081.16,4.27,262.33,69.56,5.86,0.8,18.8,53.37,7.95,6.74,24.8,high_potential
C0074,39.0,50303.76,4.16,137.91,35.84,4.55,1.0,18.0,85.98,6.65,1.54,15.5,value_seekers
C0075,23.5,52430.55,6.36,99.16,52.0,6.77,0.35,10.4,73.26,7.97,5.26,19.3,value_seekers
C0076,20.0,68291.73,5.99,213.76,67.68,5.96,1.08,30.6,41.34,9.78,4.35,31.5,loyal_midmarket
C0077,48.2,71586.3,6.26,104.54,58.85,5.73,1.43,22.5,55.43,8.22,4.69,27.6,loyal_midmarket
C0078,46.7,106671.8,8.2,350.73,83.04,3.67,1.31,43.1,34.28,8.25,9.71,41.9,premium_repeaters
C0079,30.0,75079.9,4.14,155.02,75.72,4.5,0.89,48.0,44.57,11.6,7.58,50.9,loyal_midmarket
C0080,43.6,134402.28,7.8,366.92,75.93,3.58,0.95,44.6,34.18,9.23,7.0,46.8,premium_repeaters
C0081,34.2,117495.68,7.79,461.36,73.81,4.05,1.43,43.2,46.7,8.95,6.22,46.5,premium_repeaters
C0082,30.8,74987.21,7.22,191.17,80.59,4.83,1.0,61.0,57.55,9.63,8.64,60.3,loyal_midmarket
C0083,41.3,82534.34,4.94,207.46,80.58,3.45,0.46,19.6,52.01,12.87,6.28,18.3,high_potential
C0084,30.6,37306.15,2.56,122.53,52.6,9.51,2.8,30.9,68.33,5.81,3.27,30.4,value_seekers
C0085,59.2,39303.12,2.28,98.38,45.62,9.2,2.21,17.6,79.01,2.79,2.74,20.6,value_seekers
C0086,28.0,26335.47,3.52,86.95,39.38,13.03,2.24,18.4,74.55,5.97,1.0,20.5,value_seekers
C0087,48.8,114754.47,7.52,328.17,71.49,2.8,0.81,43.1,32.84,9.3,7.11,43.9,premium_repeaters
C0088,38.1,79330.14,5.68,207.66,77.8,7.33,2.27,25.3,54.13,9.82,4.99,26.9,loyal_midmarket
C0089,59.9,42834.12,2.73,92.15,35.47,5.25,1.99,14.9,86.63,6.04,1.72,18.0,value_seekers
C0090,50.3,56557.11,8.1,147.68,57.56,4.93,1.15,25.0,51.26,5.44,6.55,23.8,loyal_midmarket
C0091,44.8,46430.67,2.88,50.45,36.06,7.86,2.73,7.8,81.32,7.22,1.62,1.0,value_seekers
C0092,42.8,123975.92,7.87,399.65,82.41,0.41,0.51,43.7,26.44,12.99,7.19,48.8,premium_repeaters
C0093,25.2,49843.96,5.65,194.57,57.1,6.14,1.75,35.3,26.43,7.06,2.41,44.8,loyal_midmarket
C0094,47.7,86822.97,6.22,218.67,70.77,5.83,1.42,41.0,74.5,11.0,8.03,36.7,loyal_midmarket
C0095,33.1,86432.41,5.69,220.77,77.28,9.63,0.75,28.9,51.24,5.51,6.42,27.4,loyal_midmarket
C0096,51.7,124648.45,6.76,446.45,78.11,5.18,1.03,51.9,30.23,12.15,7.61,54.1,premium_repeaters
C0097,20.0,68540.57,6.69,258.2,65.3,5.76,1.95,45.4,54.11,4.89,7.99,49.5,loyal_midmarket
C0098,65.7,43525.26,4.5,67.45,26.37,8.65,1.77,11.1,82.68,5.87,3.58,16.4,value_seekers
C0099,53.0,55315.16,3.31,38.63,42.74,10.03,1.02,12.9,76.47,7.41,4.76,17.9,value_seekers
C0100,53.7,87441.26,5.02,162.59,54.32,5.04,1.16,26.5,61.71,7.06,5.61,24.5,high_potential
C0101,36.9,125978.57,6.43,254.78,70.51,3.39,1.39,10.3,43.62,9.36,3.0,18.7,high_potential
C0102,44.8,127080.0,6.45,342.34,77.31,3.14,1.3,23.6,23.86,7.83,7.96,23.1,premium_repeaters
C0103,33.6,52107.85,3.46,40.98,53.47,3.85,2.05,8.7,72.72,6.35,5.69,9.9,value_seekers
C0104,20.0,81308.96,5.88,221.25,67.72,3.41,0.18,20.0,42.45,7.87,8.36,19.9,high_potential
C0105,20.0,87349.98,5.34,401.05,88.85,2.53,0.58,49.4,9.38,15.79,7.47,50.3,premium_repeaters
C0106,27.8,119816.86,9.2,455.88,73.39,3.48,1.81,23.7,36.22,10.0,5.33,26.1,premium_repeaters
C0107,46.2,60202.78,6.53,214.84,66.7,5.13,1.54,24.3,60.66,8.78,5.42,36.7,loyal_midmarket
C0108,48.0,48920.69,4.32,76.62,40.16,9.35,1.14,11.5,82.72,2.05,1.0,11.1,value_seekers
C0109,44.6,30665.28,2.19,86.13,30.73,6.24,1.18,11.4,92.58,3.47,2.19,13.4,value_seekers
C0110,56.2,92916.2,5.44,173.7,74.33,1.55,1.11,23.3,43.2,11.05,6.71,21.8,high_potential
C0111,45.7,70796.43,6.06,183.75,76.48,7.48,1.2,42.2,47.68,13.11,10.05,41.1,loyal_midmarket
C0112,50.2,40901.25,1.31,76.3,59.78,9.38,2.0,20.1,85.88,11.58,5.94,25.7,value_seekers
C0113,38.1,82863.11,5.83,158.95,85.07,5.39,1.68,35.2,48.72,13.26,5.34,43.0,loyal_midmarket
C0114,48.8,69417.07,8.34,172.52,50.0,8.41,1.61,33.3,50.66,9.44,5.3,33.1,loyal_midmarket
C0115,42.8,44202.14,3.65,85.63,57.55,5.84,0.5,17.7,87.05,7.58,6.33,21.3,value_seekers
C0116,33.7,87316.63,4.26,197.52,92.19,2.02,1.25,6.2,44.92,13.95,7.85,1.0,high_potential
C0117,49.3,80214.29,8.76,418.93,89.92,3.97,0.92,57.9,41.46,13.25,8.79,56.2,premium_repeaters
C0118,29.8,85426.89,8.2,465.01,83.12,5.42,0.99,41.1,31.05,14.41,9.48,39.3,premium_repeaters
C0119,41.1,60106.72,7.36,176.96,71.4,5.83,1.8,34.8,66.69,8.53,9.51,39.3,loyal_midmarket
C0120,32.6,126456.85,8.57,251.55,71.42,5.11,1.04,19.0,36.31,10.03,6.78,26.7,premium_repeaters
C0121,32.0,139221.18,6.15,285.39,76.43,4.58,0.23,22.0,34.59,7.2,6.0,22.4,premium_repeaters
C0122,32.5,117863.79,8.9,297.58,91.26,2.61,0.56,60.4,29.69,15.74,10.35,61.8,premium_repeaters
C0123,34.7,34648.86,3.46,92.25,33.17,7.86,1.8,20.8,91.66,6.07,2.2,22.0,value_seekers
C0124,40.9,79063.68,6.09,146.07,58.43,7.6,1.11,50.4,49.38,6.23,2.66,62.0,loyal_midmarket
C0125,27.9,53579.31,2.67,89.48,37.97,8.67,1.04,12.9,85.6,4.73,1.45,12.1,value_seekers
C0126,33.4,66929.27,6.34,166.02,65.29,4.96,0.81,40.9,66.92,8.85,6.45,44.9,loyal_midmarket
C0127,23.1,90789.35,6.81,117.93,72.54,7.22,1.07,44.0,47.79,6.85,6.26,46.5,loyal_midmarket
C0128,43.0,53581.58,1.59,58.01,32.62,7.84,1.51,22.4,89.63,5.45,1.76,25.0,value_seekers
C0129,41.0,49714.89,2.39,110.88,59.23,8.53,1.66,16.4,59.11,8.36,6.37,17.9,value_seekers
C0130,39.8,116654.16,5.79,332.22,78.54,3.65,0.98,54.5,19.31,7.75,7.39,61.6,premium_repeaters
C0131,55.3,36731.59,3.13,67.38,42.97,12.6,0.79,7.0,71.58,6.09,3.34,7.1,value_seekers
C0132,48.2,73833.66,4.54,308.33,86.53,3.44,1.32,12.2,28.24,14.45,7.21,18.8,high_potential
C0133,44.4,114998.04,8.62,361.53,74.85,1.4,0.96,54.9,18.42,12.19,8.03,58.3,premium_repeaters
C0134,46.3,63666.42,4.26,161.33,76.89,4.02,0.78,15.8,69.77,12.92,7.8,20.9,loyal_midmarket
